ytid,success,error
-0Gj8-vB1q4,True,
-0SdAVK79lg,True,
-0vPFx-wRRI,True,
-0xzrMun0Rs,True,
-1LrH01Ei1w,True,
-1OlgJWehn8,True,
-1UWSisR2zo,True,
-3Kv4fdm7Uk,True,
-4NLarMj4xU,True,
-4SYC2YgzL8,True,
-5f6hjZf9Yw,True,
-5FoeegAgvU,True,
-5xOcMJpTUk,True,
-6HBGg1cAI0,True,
-6pcgdLfb_A,True,
-6QGvxvaTkI,True,
-7B9tPuIP-w,True,
-7wUQP6G5EQ,True,
-88me9bBzrk,True,
-8C-gydUbR8,True,
-8cgbhIR_pw,True,
-bgHkxwoliw,True,
-BHPu-dPmWQ,True,
-BIMKnb3tlo,True,
-Bu7YaslRW0,True,
-ByoSbgzr4M,True,
-cLzki-B06o,True,
-cQ-jUTEgck,True,
-CUp_Tmg2Y0,True,
-DeAdhYKbGE,True,
-Dtir74TiUM,True,
-dVgUSrR8g4,True,
-e4wXAy1iVo,True,
-eDAoheZrY8,True,
-EVRXQpt1-8,True,
-f1DNyngKVY,True,
-f6s6kQEHFY,True,
-FEPOSP7ay0,True,
-FFx68qSAuY,True,
-FlvaZQOr2I,True,
-fxh7jAJR8U,True,
-Gf4Ihv1zwc,True,
-hSMzrWZCAE,True,
-hYRFCQdbLg,True,
-i9gpG3vPwA,True,
-i9uQMysy_A,True,
-IZbvEO9wzU,True,
-jpbCWcz2pk,True,
-JvB5AL59fM,True,
-JVWfFPBl84,True,
-lPXTBXa0tE,True,
-M-6VinyMiY,True,
-m5ZlWziIeA,True,
-M6K3QoHh40,True,
-m9pH0WXQto,True,
-mA_bqD1tgU,True,
-mB_XLq6g1g,True,
-nlkWWphiaM,True,
-NmjCyqIavI,True,
-o0ZtQIkM60,True,
-O9mnfC61Ac,True,
-OAyRsvFGgc,True,
-oP-XX28B0s,True,
-OUIEnuNd1I,True,
-pUfYFcsgG4,True,
-Q9MTRXS4bE,True,
-qcTD2o6I9s,True,
-QuWdnmn-kM,True,
-R0267o4lLk,True,
-r2-9oyIzkQ,True,
-r7iz-9v9bA,True,
-rAhS48FkYw,True,
-RYtUAsNhF0,True,
-SD43H5B5hE,True,
-sRFfU8k0Zs,True,
-SWaCArvQug,True,
-T4GeTHKtJQ,True,
-taO6N-rxv4,True,
-tKZOl4q1Kw,True,
-tmY1GEH3_Y,True,
-tpq_bzSKes,True,
-U16iKiXGuY,True,
-uaTK8sa5Ms,True,
-Umconw-CRE,True,
-UuEBhule84,True,
-v5hgCh3M2w,True,
-VclCul6FrI,True,
-VI2IRq17rs,True,
-Vo4CAMX26U,True,
-w12aSkQ9No,True,
-w4HLksto_k,True,
-W5c6CeUMPE,True,
-w8maIWtnUk,True,
-WvVG0wHcTc,True,
-wVWjl9Kq6U,True,
-wymN80CiYU,True,
-XkbErI_7EU,True,
-XN0NtrnfMY,True,
-YATTKBtmRA,True,
-YIT4HBM__g,True,
-zA6LL78KYU,True,
-ZHpNr_KRXU,True,
-zOybsEdM5E,True,
-_6RxZyi30Q,True,
-_OzT7Xyvok,True,
0-7PyzhzuYQ,True,
00M9FhCet6s,True,
01hjVJN9xCg,True,
01PzcPKT3_E,True,
0298WjE3_tk,True,
02Qntw26enM,True,
03z0rpIkm5g,True,
04NjXsLyCl4,True,
05JAmKFVy44,True,
05OJDYeHLMc,True,
06Brdf83RZE,True,
06IU9WsEp3s,True,
07-3grCQ8EU,True,
07-vpXo91XM,True,
07FxCXxknY4,True,
07mS0mSTDjY,True,
07xGXxIHOL4,True,
08mf5GxT820,True,
08u-jdwjM74,True,
09lQmg2wvsY,True,
0a6uLBmqZgA,True,
0a91szM1Ivw,True,
0abzD7hBTRk,True,
0ADP-O_V3vA,True,
0AGHo8V8HpM,True,
0AhX-ReXovI,True,
0BFauf6TGGU,True,
0bP2MH3LqvI,True,
0bRUkLsttto,True,
0bvPjMQ_WbE,True,
0c1YU_VtFRE,True,
0cNYPgD6cEA,True,
0DizopdPMBw,True,
0dPx94RPy2M,True,
0DYH0sqDXB8,True,
0EOQco76eXQ,True,
0EvpBtracsk,True,
0ewQiU3q5jM,True,
0ewWspUqB6Y,True,
0EzWmAPwoTs,True,
0F-Z0zF1504,True,
0fCpAuxrQ_I,True,
0fiOM---7QI,True,
0fqtA_ZBn_8,True,
0Gxn9FtaJFc,True,
0H3FAoDgzhI,True,
0hfU27A6tus,True,
0hw_BB4QN34,True,
0HXYdGGKV2k,True,
0ISHZQJdeSw,True,
0JbGxIR8JTk,True,
0jFQ21A6GRA,True,
0J_TdiZ3TKA,True,
0K-zyeLuKho,True,
0KCVgexi4yU,True,
0kQD1P0_KUs,True,
0kQjfwXjFuY,True,
0L2ndtt60Q8,True,
0L3vcdzQPPU,True,
0LE6Ll1rVlg,True,
0lIETNZ_7sg,True,
0LLlcPiatiU,True,
0M7nETLOsKQ,True,
0m9-5BkL4Mc,True,
0MzrXd8CUCg,True,
0nk7utNkHOY,True,
0nNmbkU8GBI,True,
0NTzOtVmoiU,True,
0NZY0GHQBP0,True,
0OhtODbKajw,True,
0oIFGARD9xE,True,
0Olm321vgk8,True,
0ONdm4sW47c,True,
0OY8XXZ98rw,True,
0OYlHvyfNk4,True,
0pewITE1550,True,
0PMFAO4TIU4,True,
0q-80dzp6PU,True,
0Q1JLNfm8oU,True,
0QAaln-hjPw,True,
0qtbbK5HVMw,True,
0QYNC7J05XI,True,
0RcMzUdXDRQ,True,
0RDz0rLakwc,True,
0RgGrVklaao,True,
0rNr_qnoPQ4,True,
0RpkkfkUBRU,True,
0s0Uy0-zBa0,True,
0S5zWt91Bwo,True,
0SNhAKyXtC8,True,
0SnjS2w_c80,True,
0soVCtJgDTk,True,
0sPVAP17w2U,True,
0TiEO149Ydc,True,
0trWdhSvab4,True,
0TV9zvfwFhs,True,
0u1sk49gAU0,True,
0u4gY1bBUwQ,True,
0u5-WiBKam8,True,
0Ubu4BqSWmU,True,
0vFPs6XsU_Q,True,
0VjPCd62oKg,True,
0VwX92X3iPc,True,
0Wdh45yt7tY,True,
0wYi8B9PXDY,True,
0wzsE67O5tE,True,
0x6chChxzV0,True,
0XxinBtKouQ,True,
0ZNFJz-eZTU,True,
0zolXzR9Oi4,True,
0ZXWSO_Y2C0,True,
0_hH79HnEdo,True,
0_QcatLmg7c,True,
0_XItMAYkwc,True,
1-Y9kafYuqQ,True,
10dur7jhFQM,True,
11D0JdB7_4k,True,
11FeId69WOk,True,
11fNNN95_og,True,
13n6n6nKMhI,True,
14hTDUjCr_g,True,
15CZ2h5VL-A,True,
15Mw2jyyHk0,True,
15z-gbPxdXg,True,
16F5fdORzSo,True,
16TsDMjHzYU,True,
17AtKbQ7glU,True,
18mS4cLPOb8,True,
19-GI2LzOtc,True,
19Pp9QEw17U,True,
1ACn3u5UnBw,True,
1AOe82obwcY,True,
1ArUx6UCxe4,True,
1a_nvi4sW64,True,
1bSP4wLfMpA,True,
1BVSYfNCcv0,True,
1Ccis4FDGwY,True,
1cqcTbDxsHM,True,
1cwGW0cBdRs,True,
1DNoynuGLV4,True,
1dt9eL2rmSY,True,
1FnA3w94zXI,True,
1FnT0RrfMEA,True,
1FU5odlgLmo,True,
1GCOnj53QYM,True,
1gDNqOQFopY,True,
1h2sb2xeCt8,True,
1hABzqBHh7w,True,
1heMbyumHAo,True,
1hWAOReJehw,True,
1IK4OeOqAEo,True,
1ILLsA6gqHE,True,
1IMi7yfZVVM,True,
1Is1xfDjZrw,True,
1j13NdQiw8c,True,
1j3pXUr8R4M,True,
1j4rFfU5XKQ,True,
1jATjKL2vAE,True,
1JpeDWbgUO8,True,
1jptuEjuTig,True,
1JqNiV03kog,True,
1JwoLPCIGhs,True,
1KmsVHx7E2c,True,
1KN3GrwhY8c,True,
